# Export CSV from Simcenter Amesim 2304 (encoding="UTF - 8 - BOM")
"Time - load=0.86 kg ""1""","receiver input - load=0.86 kg ""1""","receiver input - load=0.817 kg ""2""","receiver input - load=0.774 kg ""3""","receiver input - load=0.688 kg ""5""","receiver input - load=0.645 kg ""6""","receiver input - load=0.602 kg ""7""","receiver input - load=0.559 kg ""8""","receiver input - load=0.516 kg ""9""","receiver input - load=0.473 kg ""10""","receiver input - load=0.43 kg ""11"""
"s","null","null","null","null","null","null","null","null","null","null"
0.00000000000000e+00,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.00000000000000e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
2.00000000000000e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
3.00000000000001e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
4.00000000000001e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
5.00000000000001e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
6.00000000000001e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
7.00000000000001e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
8.00000000000002e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
9.00000000000002e+01,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.00000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.10000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.20000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.30000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.40000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.50000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.60000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.70000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.80000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
1.90000000000000e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
2.00000000000001e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
2.10000000000001e+02,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03,2.00000000000000e+03
